ID,Number of days with 0 activities,Average Activities Per Session,Total Number of Logins,Time Test #1 A,Time Test #1 B,Time Test #2 Part #1 A,Time Test #2 Part #1 B,Time Test #2 Part #2 A,Time Test #2 Part #2 B,Time Test #3 A,Time Test #3 B,Time Test #4 A,Time Test #4 B,Time Test #5 A,Time Test #5 B,Time Test #6 A,Time Test #6 B,Time Test #7 A,Time Test #7 B,Average time taking tests in minutes,Assignments_num_submissions,Procedures Quiz,Surveys,CyberRat Assignments,Online meetings attended,num_submissions,num_submissions_testb,num_submissions,Overall Grade,Above Average?
1,47,6.258426966,72,16.63333333,11.96666667,18.73333333,18.16666667,10.56666667,9.433333333,22.33333333,19.61666667,19.61666667,22.11666667,14.05,17.05,6.333333333,7.45,21.45,19.16666667,15.91770833,10,2,5,18,3,0,9,9,1000.79,Y
2,77,3.528089888,39,13.06666667,18.23333333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15.65,10,6,9,4,3,0,8,9,957.03,Y
3,30,9.449438202,126,29.13333333,16.93333333,28.48333333,27.41666667,15.61666667,14.3,35.3,23.75,26.38333333,38.38333333,19.9,28.8,10.4,7.183333333,16.06666667,14.45,22.03125,10,3,13,1,11,0,6,9,900.63,Y
4,42,9.134831461,124,39.35,29.53333333,105.8166667,66.83333333,63.01666667,-,1398.516667,-,65.86666667,65.85,50.95,43.9,48.98333333,13.78333333,92.86666667,78.56666667,154.5595238,10,4,2,0,6,0,8,9,897.75,N
5,54,5.842696629,88,24.9,-,24.05,-,15.25,-,24.26666667,-,17.81666667,-,12.4,-,8.466666667,-,17.4,-,18.06875,10,2,5,0,6,0,9,9,922.97,Y
6,32,10.42696629,142,55.56666667,31.48333333,52.08333333,72.15,42.35,51.03333333,79.13333333,71.4,60.41666667,103.9833333,-,1347.3,28.31666667,21.71666667,1384.733333,50.93333333,230.1733333,10,2,13,5,6,0,5,9,909.7,Y
7,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NaN,10,0,0,0,0,0,4,9,907.63,Y
8,38,10.02247191,121,43.9,39.83333333,47.7,28.26666667,24.53333333,30.95,26.5,45.26666667,68.76666667,59.66666667,30.81666667,76.73333333,9.016666667,13.06666667,88.96666667,113.1333333,46.69479167,10,3,4,0,18,0,8,2,912.36,Y
9,60,6.853932584,57,19.11666667,-,18.48333333,-,14.13333333,-,23.38333333,-,24.18333333,-,14.03333333,-,9.95,-,15.4,-,17.33541667,10,3,4,2,1,0,4,9,968.59,Y
10,80,2.292134831,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NaN,10,3,6,0,8,0,5,9,-,N
11,50,6.943820225,93,49.93333333,59.8,103.2166667,-,59.33333333,1363.3,-,93.96666667,1350.533333,61.78333333,80.45,-,69.31666667,-,1360.95,-,422.9621212,10,2,2,9,12,0,5,9,974.05,Y
12,28,10.56179775,135,27.75,18.81666667,53.68333333,-,49.51666667,61.86666667,85.05,66.25,89.51666667,-,44.08333333,51.4,16.46666667,-,42.9,-,50.60833333,10,2,5,12,0,0,5,9,1005.31,Y
13,29,10.20224719,154,32.45,37.06666667,62,-,43,56.28333333,68.06666667,82.66666667,83.98333333,-,31.85,-,18.4,20.21666667,52.18333333,-,49.01388889,10,2,4,3,10,0,4,9,975.5,Y
14,32,9.179775281,125,13.86666667,12.95,21.78333333,18.85,16.06666667,14.88333333,21.15,30.75,19.91666667,24.83333333,20.1,21.96666667,11.23333333,5.516666667,19.88333333,24.15,18.61875,10,2,4,2,5,0,6,8,990.02,Y
15,41,7.943820225,84,24.51666667,15.38333333,22.45,-,21.25,11.76666667,33.33333333,23.9,27.8,-,17.65,19.76666667,18.06666667,-,20.91666667,-,21.4,10,3,4,1,2,0,8,9,983.5,Y
16,45,8.202247191,113,16.18333333,-,20.4,18.68333333,25.33333333,16.05,28.5,-,34.11666667,-,22.88333333,-,11.66666667,6.85,20.03333333,18.03333333,19.89444444,10,2,5,2,7,0,7,9,1033.02,Y
17,51,6.101123596,78,32.16666667,-,1396.916667,-,26.43333333,-,41.08333333,-,25.56666667,30.31666667,19.23333333,-,12.53333333,10.05,64.6,1414.6,279.4090909,10,2,3,0,5,0,6,9,962.91,Y
18,58,6.528089888,65,19.81666667,9.1,23.4,-,-,14.4,16.53333333,-,19.78333333,-,13.8,25.25,13.06666667,4.716666667,14.65,15.81666667,15.86111111,10,3,3,0,1,0,1,9,840.61,N
19,32,14.17977528,123,16.55,21.88333333,22.8,15.61666667,18.61666667,9.35,22.06666667,23.75,34.9,27.7,13.95,20.93333333,12.4,-,21.73333333,25.45,20.51333333,10,2,3,9,3,0,3,9,995.77,Y
20,49,5.966292135,86,15.93333333,7.3,18.16666667,11.08333333,8.483333333,5.366666667,23.71666667,20.21666667,26.26666667,-,13.36666667,18.1,5.766666667,3.45,11.15,-,13.4547619,10,2,2,0,1,0,8,9,921.83,Y
21,51,6.97752809,65,17.43333333,16.7,40.51666667,-,21.13333333,18.76666667,33.2,-,22.88333333,35.88333333,30.23333333,-,17.7,12.9,28.98333333,56.2,27.11794872,10,3,4,7,0,0,8,9,872.18,N
22,31,10.16853933,124,32.08333333,-,25.18333333,-,26.13333333,-,34.18333333,-,52.46666667,-,24.11666667,-,17.51666667,-,28.03333333,-,29.96458333,10,3,8,6,10,0,9,9,986.94,Y
23,73,3.696629213,33,21.21666667,16.1,30.2,34.41666667,14.6,1.25,100.4333333,-,28.81666667,1.35,21.63333333,24.33333333,10.33333333,0.916666667,30.58333333,1.516666667,22.51333333,10,2,3,1,3,0,5,9,974.75,Y
24,47,7.651685393,75,24.3,13.71666667,28.3,-,19.15,-,39.83333333,-,42.93333333,12.55,21.46666667,-,11.16666667,-,1411.65,-,162.5066667,10,3,5,0,6,1,9,9,940.63,Y
25,50,8.505617978,80,20.35,25.13333333,29.38333333,36.51666667,36.66666667,18.75,26.45,1415.766667,71.08333333,-,24.58333333,1416.566667,9.05,13.03333333,22.41666667,39.28333333,213.6688889,10,7,4,8,0,0,9,2,1001.2,Y
26,41,7,96,14.68333333,32.38333333,26.45,17.78333333,16,7.283333333,15.71666667,23.18333333,19.7,25.91666667,9.383333333,14.21666667,5.95,-,18.7,13,17.35666667,10,2,3,3,5,0,2,9,801.57,N
27,35,8.314606742,99,20.23333333,9.85,23.76666667,20.4,14.75,1428.366667,25.98333333,38.7,1410.733333,37.66666667,21.1,28.6,5.766666667,6.633333333,31.25,25.45,196.828125,10,2,4,0,7,0,9,9,946.68,Y
28,53,9.93258427,65,17.95,13.5,29.46666667,29.01666667,23.96666667,-,28,52.75,19.61666667,-,18.63333333,-,9.933333333,7.716666667,23.25,-,22.81666667,10,4,3,16,13,0,8,9,822.24,N
29,33,13.80898876,135,15.71666667,25.65,37.8,23.06666667,25.55,14.48333333,46.46666667,47.78333333,40.73333333,32.61666667,28.45,29.35,16.21666667,8.133333333,38.26666667,23.73333333,28.37604167,10,2,5,28,4,0,6,9,857.44,N
30,53,8.573033708,93,-,1413.866667,-,73.01666667,-,18.05,-,34.23333333,-,42.38333333,-,51.2,-,26.45,61.43333333,47.41666667,196.45,10,3,5,6,1,0,7,9,980.46,Y
31,28,9.97752809,142,66.61666667,-,119.9,76.7,90.06666667,-,73.2,-,72.2,-,84.53333333,-,64.11666667,-,88.71666667,-,81.78333333,10,3,11,12,5,0,5,9,1001.46,Y
32,58,4.157303371,52,27.8,27.01666667,57.01666667,63.21666667,43.3,19.41666667,53.78333333,61.61666667,38.61666667,68.43333333,50.96666667,55.56666667,48.2,30.25,71.91666667,58.78333333,48.49375,10,1,4,0,0,0,2,9,942.78,Y
33,26,9.775280899,142,22.9,34.08333333,44.11666667,50.7,35.38333333,28.36666667,54.65,-,72.33333333,64.96666667,42.38333333,70.41666667,25.93333333,15.9,55.33333333,33.98333333,43.43,10,4,5,0,0,0,9,9,969.32,Y
34,43,7.101123596,91,25.03333333,18.06666667,30.55,26.63333333,23.7,-,24.05,17.13333333,31.41666667,-,19.36666667,32.23333333,9.7,-,16.31666667,17.08333333,22.40641026,10,2,4,0,1,0,1,8,920.42,Y
35,37,8.898876404,124,33.8,25.86666667,50.38333333,45.5,28.1,-,52.13333333,62.15,69.95,-,22.63333333,41.38333333,14.51666667,16.01666667,26.5,-,37.61025641,10,3,8,6,4,0,3,9,870.56,N
36,44,8.494382022,78,14.06666667,9.183333333,18.08333333,17.88333333,9.566666667,-,26.85,20.58333333,15.85,-,13.8,19.13333333,7.75,4.583333333,16.85,15.36666667,14.96785714,10,3,6,15,9,0,8,5,902.77,Y
37,22,9.606741573,114,20.9,13.65,22.56666667,22.25,22.78333333,-,34.41666667,43,33.03333333,-,24.18333333,-,16.55,-,30.78333333,24.16666667,25.69027778,10,2,4,5,3,0,8,7,807.11,N
38,48,7.078651685,76,26.86666667,-,28.45,-,11.46666667,-,25.73333333,-,33.73333333,-,20.05,24.5,11.71666667,-,18.13333333,-,22.29444444,10,2,4,3,0,0,9,9,863.59,N
39,29,13.33707865,175,40.13333333,16.71666667,38.83333333,33.23333333,22.8,19.76666667,35.9,34.56666667,48.26666667,32.76666667,21.56666667,51.01666667,12.61666667,10.76666667,24.13333333,28.71666667,29.4875,10,2,3,14,5,0,5,9,982.88,Y
40,53,4.764044944,68,18.11666667,-,28.85,-,17.88333333,-,25.16666667,-,24.93333333,-,30.26666667,-,9.883333333,-,-,-,22.15714286,10,2,3,0,3,0,6,9,942.49,Y
41,47,6.415730337,78,11.53333333,-,20.2,-,15,16.46666667,19.76666667,-,23.93333333,-,1426.533333,-,8.883333333,5.483333333,24.06666667,-,157.1866667,10,3,7,2,1,0,7,9,1038.79,Y
42,46,6.101123596,71,27.41666667,-,46.81666667,24.91666667,28.45,1.166666667,-,1409.966667,-,38.91666667,-,42.53333333,-,12.31666667,23.75,23.78333333,152.730303,10,3,4,5,13,0,6,9,885.93,N
43,52,10.41573034,119,13.33333333,11.81666667,-,1408.216667,-,28.23333333,29.55,20.85,30.01666667,-,11.8,25.55,10.93333333,8.1,21.2,20.9,126.1923077,10,1,3,2,4,0,2,9,716.77,N
44,34,7.662921348,136,18.6,15.83333333,30.86666667,27.5,21.08333333,13.25,32.03333333,41.01666667,24.73333333,40.56666667,18.71666667,29.68333333,13.26666667,9.616666667,22.46666667,25.16666667,24.025,10,3,4,5,3,0,9,9,999.63,Y
45,44,6.95505618,81,16.51666667,16.4,31.18333333,21.16666667,17.28333333,-,31.5,31.61666667,34.3,39.85,27.75,40.66666667,22.38333333,11.41666667,34.25,35.46666667,27.45,9,3,4,1,10,0,5,9,852.59,N
46,50,4.831460674,65,13.53333333,10.66666667,22.38333333,15.48333333,13.13333333,-,16.95,19.66666667,17.66666667,-,17.21666667,21.58333333,5.916666667,-,15.43333333,-,15.80277778,10,2,5,1,0,6,9,9,941.21,Y
47,33,12.2247191,157,19.96666667,-,32.75,26.06666667,23.58333333,13.75,18.7,16.73333333,17.83333333,-,13.83333333,-,5.966666667,5.433333333,18.1,21.6,18.02435897,10,2,3,6,5,0,4,9,998.81,Y
48,53,6.101123596,52,36.08333333,24.68333333,63.21666667,-,53.81666667,-,84.41666667,41.23333333,95.56666667,62.93333333,39.01666667,40.78333333,39.33333333,20.01666667,78.33333333,102.6833333,55.86547619,10,3,5,6,13,0,9,9,903.52,Y
49,56,7.460674157,55,13.68333333,14.3,24.13333333,20.21666667,13.38333333,17.81666667,29.43333333,-,16.2,-,18.98333333,-,11.28333333,10.7,14.96666667,17.61666667,17.13205128,10,2,5,3,1,0,7,9,954.8,Y
50,47,7.842696629,89,20.36666667,-,30.18333333,-,15.85,-,19.66666667,16.73333333,18.76666667,-,14.06666667,-,7.033333333,-,19.38333333,-,18.00555556,10,3,5,6,3,0,9,9,866.92,N
51,29,13.29213483,157,49.73333333,19.83333333,63.81666667,64.35,47.46666667,53.85,90.73333333,77.81666667,96,104.2166667,101.6166667,65.93333333,65.3,36.18333333,88,60.01666667,67.80416667,10,2,5,21,6,0,5,9,947.33,Y
52,29,10.14606742,148,27.48333333,30.86666667,42.15,39.53333333,41.13333333,39.43333333,73.05,-,76.93333333,-,27.28333333,55.98333333,31.43333333,-,44.05,-,44.11111111,10,4,4,11,4,0,7,9,905.75,Y
53,30,14.86516854,138,21.28333333,13.86666667,35.3,60.05,30.23333333,22.76666667,46.28333333,43.06666667,68.01666667,32.9,28.18333333,38.71666667,13.18333333,8.75,30.28333333,39.06666667,33.246875,10,4,5,68,7,0,3,9,886.99,N
54,39,7.573033708,88,12.15,-,21.91666667,21.16666667,15.31666667,-,18.21666667,-,15,20.65,10.51666667,-,5.783333333,-,14.33333333,16.2,15.56818182,10,3,5,5,3,0,6,9,891.73,N
55,39,7.865168539,93,45.88333333,31.68333333,72.16666667,37.88333333,73.33333333,38.53333333,1352.216667,68.78333333,88.58333333,30.96666667,69.65,48.16666667,20.65,12.38333333,49.13333333,63.36666667,131.4614583,10,3,4,3,3,0,2,9,783.27,N
56,28,9.764044944,133,26.8,19.05,62.76666667,76.25,62.36666667,54.78333333,84.36666667,97.38333333,74.05,58.71666667,34.16666667,57.8,52.48333333,18.26666667,70.76666667,53.45,56.46666667,10,4,5,8,0,0,6,9,992.19,Y
57,36,8.573033708,112,43.7,27.88333333,37.68333333,-,32.96666667,1424.466667,48.35,1411.816667,1391.233333,59.4,33.05,43.91666667,29.06666667,10.7,1415.2,-,429.2452381,10,0,5,1,9,0,1,9,915.02,Y
58,32,7.617977528,121,15.06666667,14.71666667,19.58333333,18.45,10.03333333,10.38333333,26.25,20.61666667,17.51666667,1420.483333,13.65,20.41666667,7.816666667,6.733333333,17.3,18.36666667,103.5864583,10,3,4,5,14,0,6,9,932.62,Y
59,56,6.438202247,70,33.38333333,17.98333333,41.38333333,44.06666667,38.55,-,62.73333333,-,60.03333333,59,42.31666667,49.4,30.41666667,-,67.05,-,45.52638889,10,2,4,1,1,0,5,9,902.48,Y
60,23,10.37078652,137,19.15,24.6,26.4,30.08333333,30.9,20.56666667,33.8,26.78333333,25.73333333,-,23.1,29.33333333,1426.05,10.26666667,32.1,-,125.6333333,10,0,5,6,4,4,7,9,902.86,Y
61,27,8.853932584,158,25.95,15.1,1329.8,23.06666667,31.9,-,1377.983333,-,36.81666667,-,50.61666667,-,28.46666667,-,57.76666667,-,297.7466667,10,5,5,6,1,0,9,9,904.05,Y
62,16,13,183,45.36666667,63.1,1391.216667,65.81666667,33.23333333,21.05,1391.25,60.58333333,62.95,-,73.28333333,-,54.45,54.08333333,66.86666667,-,260.25,10,2,3,23,16,0,8,9,937.74,Y
63,38,6.539325843,95,18.53333333,-,29.8,-,18.35,13.85,34.28333333,-,31.43333333,-,20.3,-,10.36666667,-,22.11666667,-,22.11481481,10,3,6,21,0,0,2,9,841.86,N
64,37,8.808988764,103,56.81666667,52.4,87.73333333,75.45,48.6,33.1,89.48333333,60.55,67.01666667,-,57.96666667,57.48333333,13.45,-,46.76666667,-,57.4474359,10,3,5,11,16,0,6,9,911.74,Y
65,36,10.64044944,122,36.75,-,37.03333333,-,28.08333333,-,1390.383333,-,35.05,-,27.51666667,-,13.6,-,35.6,-,200.5020833,10,2,6,0,6,0,9,4,879.47,N
66,38,7.337078652,94,18.35,13.7,28.6,31.93333333,15.71666667,-,26.55,26.13333333,30.65,44.78333333,23.46666667,31.43333333,24.11666667,-,25.13333333,-,26.1974359,10,2,3,11,4,0,1,9,824.86,N
67,16,15.76404494,194,40.35,32.73333333,39.63333333,26.15,31.38333333,21.81666667,33.31666667,-,27.9,-,21.53333333,-,15.88333333,-,29.6,46.11666667,30.53472222,10,2,7,2,0,0,9,9,1008.17,Y
68,31,7.449438202,88,29.1,17.08333333,40.83333333,-,32.88333333,-,49.25,29.1,51.2,49.13333333,29.61666667,31.86666667,18.96666667,-,28.28333333,-,33.94305556,10,2,3,1,10,0,7,9,901.44,Y
69,20,13.5505618,198,22.26666667,-,33.96666667,-,14.73333333,15.33333333,23.83333333,27.96666667,43.78333333,38.28333333,26.9,1414.983333,19.56666667,17.8,35.68333333,31.08333333,126.1559524,10,2,10,88,8,0,2,9,1013.72,Y
70,38,9.112359551,99,28.28333333,17.93333333,50.26666667,30.51666667,44.1,23.3,58.85,53.53333333,64.43333333,44.66666667,53,43.48333333,21.1,14.53333333,61.86666667,24.86666667,39.67083333,10,5,4,0,0,0,8,9,953.25,Y
71,48,7.213483146,106,16.56666667,18.13333333,31.73333333,23.58333333,17.16666667,-,31.5,23.08333333,31.28333333,28.45,14.43333333,18.28333333,9.1,9.15,21.46666667,28.63333333,21.50444444,10,2,3,6,3,0,1,9,945.15,Y
72,22,12.13483146,182,81.56666667,-,93.51666667,-,93.26666667,-,97.73333333,105.4,84.78333333,-,48.96666667,-,31.95,-,98.61666667,-,81.75555556,10,5,8,1,7,0,7,4,991.33,Y
73,31,11.16853933,119,25.26666667,19.6,34.65,34.16666667,24.96666667,-,25.4,21.95,25.7,-,13.85,1430.766667,10.13333333,12.55,24.71666667,-,131.0551282,10,1,7,3,4,0,7,9,826.76,N
74,47,8,90,-,51.1,-,41.1,-,28.88333333,-,45.83333333,-,66.38333333,20.36666667,54.78333333,21.71666667,9.766666667,31.96666667,31.58333333,36.68030303,10,2,5,6,6,0,3,9,912.25,Y
75,51,5.393258427,83,38.26666667,-,48.88333333,-,44.51666667,-,54.58333333,-,46.2,-,23.6,-,12.65,-,26.98333333,-,36.96041667,10,3,6,0,12,0,9,9,953.5,Y
76,42,5.595505618,90,17.1,17.33333333,30.08333333,19.86666667,10.78333333,21.5,21.11666667,1419.033333,16.78333333,19.18333333,21.86666667,18.26666667,8.7,4.8,20.41666667,13.15,104.9989583,6,3,3,0,6,0,6,1,993.09,Y
77,22,10.42696629,143,11.38333333,8.366666667,18.1,1423.1,10.45,-,16,-,16.33333333,16.11666667,10.81666667,14.85,5.616666667,4.266666667,15.93333333,15.78333333,113.3654762,10,2,3,21,5,0,7,8,395.06,N
78,45,8.988764045,130,9,-,16.21666667,-,19.1,-,42.01666667,20.75,15.38333333,-,18.56666667,-,9.766666667,10.26666667,14.13333333,1417.283333,144.7712121,10,2,6,7,0,0,9,9,830.81,N
79,33,5.831460674,90,16.15,-,20.65,-,13.86666667,-,30.2,21.86666667,18.68333333,-,13.33333333,-,6.5,-,14.13333333,-,17.26481481,10,3,4,0,0,0,8,9,933.79,Y
80,22,11.78651685,188,28.11666667,18.41666667,33.23333333,29.1,14.68333333,9.716666667,42.28333333,26.45,25.06666667,31.66666667,19.8,37.3,7.2,5.416666667,26.63333333,-,23.67222222,10,4,7,9,0,0,2,9,876.44,N
81,32,8.303370787,94,25.38333333,-,32.16666667,-,22.9,-,34.53333333,-,34.4,-,23.21666667,-,26.56666667,-,26.78333333,-,28.24375,10,3,2,3,0,0,9,9,875.98,N
82,28,9.921348315,126,18.6,12.68333333,30.93333333,-,-,15.21666667,-,43.86666667,-,1375.616667,-,51.2,-,14.53333333,21.5,-,176.0166667,10,2,4,10,5,0,9,9,731.44,N
83,46,6.629213483,76,35.81666667,19.63333333,27.5,25.9,15.63333333,10.55,23.75,21,34.83333333,27.75,21.61666667,24.95,8.816666667,-,19.48333333,-,22.65952381,10,2,2,0,7,0,6,9,927.1,Y
84,33,8.97752809,121,43.58333333,25.51666667,57.95,21.96666667,32.5,-,41.86666667,-,42.66666667,-,26.15,-,18.16666667,-,30.53333333,-,34.09,7,2,6,0,1,0,7,2,947.16,Y
85,40,6.786516854,93,8.3,6.716666667,16.76666667,14.95,8.733333333,6.766666667,14.8,12.8,15.26666667,15.58333333,11.25,11.7,6.766666667,3.85,14.46666667,14.45,11.44791667,10,3,3,0,12,0,9,9,524.45,N
86,53,4.988764045,107,-,27.93333333,-,51.83333333,-,26.26666667,-,52.9,-,63.4,-,-,-,-,-,-,44.46666667,10,7,8,1,3,0,4,9,895.22,N
87,60,5.157303371,66,26.41666667,0.2,51.01666667,0.233333333,28.9,18.53333333,-,0.6,35.83333333,0.283333333,26.83333333,-,23.9,0.15,26.98333333,-,18.4525641,10,4,3,1,0,0,8,9,993.19,Y
88,42,7.191011236,86,18.8,17.1,22.63333333,16.05,9.916666667,18.6,22.15,16.51666667,30.23333333,16.83333333,14.5,20.85,6.416666667,5.483333333,11.65,20.86666667,16.7875,10,7,6,12,5,0,6,9,914.25,Y
89,49,6.674157303,86,-,11.31666667,-,1403.183333,16.83333333,-,-,1414.816667,-,68.08333333,-,21.93333333,-,12.63333333,-,1424.333333,546.6416667,10,4,4,0,4,0,5,8,938.39,Y
90,27,11.29213483,156,25.73333333,52.78333333,70.15,52.6,32.21666667,20.5,51.3,47.65,52.63333333,36.01666667,38.03333333,-,14.88333333,14.86666667,35.55,60.1,40.33444444,10,2,5,6,4,0,6,9,976.58,Y
91,60,4.426966292,52,14.36666667,-,17.71666667,-,15.08333333,-,21.75,-,20.1,22.13333333,13.18333333,-,7.55,-,15,-,16.32037037,10,2,2,1,0,0,3,9,944.73,Y
92,42,7.752808989,90,19.51666667,25.46666667,30.33333333,34,16.48333333,23.1,19.78333333,28.9,25.11666667,19.01666667,15.85,19.58333333,13.21666667,7.233333333,20.83333333,29.75,21.76145833,10,3,4,6,3,0,2,9,881.01,N
93,42,7.06741573,83,21.73333333,1426.3,33.28333333,23.66666667,25.96666667,26,46.1,24.33333333,33.11666667,1399.833333,27.36666667,35.86666667,11.3,10.06666667,18.5,31.01666667,199.653125,10,2,4,0,1,0,9,9,1031.82,Y
94,33,8.550561798,115,26.95,-,44.88333333,25.73333333,18.65,-,41.78333333,22.63333333,24.58333333,26.01666667,22.41666667,17.1,11.7,-,22.58333333,22.03333333,25.15897436,10,2,7,9,0,0,8,9,839.78,N
95,41,11.05617978,97,20.26666667,79.68333333,-,159.7166667,-,67.11666667,-,165.0166667,-,99.45,-,153.5666667,-,-,-,-,106.402381,10,2,8,22,9,0,4,9,918.24,Y
96,47,7.91011236,83,21.03333333,24.7,43.96666667,28.71666667,35.96666667,28.41666667,29.3,47.31666667,30.36666667,35.63333333,27.56666667,22.63333333,14.03333333,6.75,38.58333333,66.18333333,31.32291667,10,2,6,2,2,0,9,6,958.07,Y
97,31,7.123595506,108,16.08333333,11.48333333,27.75,-,13.85,-,24.33333333,-,16.48333333,-,19.23333333,1416.9,12.08333333,-,21.18333333,15.36666667,144.9772727,10,2,3,1,4,0,9,9,811.71,N
98,33,8.224719101,109,19.23333333,20.65,43.11666667,-,28.7,18.73333333,44.53333333,33.61666667,50.16666667,47.23333333,33.5,36.15,14.51666667,7.65,32.81666667,42.6,31.54777778,10,2,5,5,0,0,6,9,978.77,Y
99,37,6.943820225,92,21.28333333,16.2,31.45,28.75,16.85,12.25,31.33333333,32.9,30.5,-,19.55,26.11666667,16.65,-,31.38333333,-,24.2474359,1,2,4,0,5,0,2,2,903.85,Y
100,33,6.966292135,108,20.66666667,9.733333333,23.01666667,19.71666667,14.06666667,-,36.2,-,30.31666667,-,15.61666667,-,7.033333333,-,22.21666667,17.76666667,19.66818182,10,2,3,0,13,0,9,9,128.88,N
101,55,5.876404494,61,20.81666667,-,-,25.33333333,19.05,13.96666667,31.3,-,25.1,33.16666667,20.7,-,12.33333333,-,22.68333333,11.65,21.46363636,10,2,4,3,8,0,7,9,1010.99,Y
102,30,8.573033708,115,17.71666667,10.16666667,31.21666667,22.31666667,15.51666667,-,40.85,30.61666667,34.75,-,18.36666667,22.33333333,11.31666667,-,27.68333333,20.11666667,23.30512821,10,3,4,12,0,0,1,9,915.34,Y
103,40,10.31460674,128,42.43333333,47.75,45.08333333,-,26.21666667,-,61.36666667,-,57.03333333,64.65,31.46666667,-,27.33333333,-,45.03333333,-,44.83666667,10,4,5,2,3,0,9,8,972.05,Y
104,32,9.415730337,110,24.88333333,-,37.6,-,24.86666667,-,41.16666667,-,69.51666667,-,29.81666667,35.95,20.5,-,32.96666667,-,35.25185185,10,2,3,3,2,0,6,4,782.88,N
105,27,7.056179775,101,11.31666667,42.45,32.85,23.33333333,22.21666667,9.4,28.76666667,22.26666667,21.2,15.05,30.68333333,29.8,10.45,6.5,18.6,32.73333333,22.35104167,10,1,2,0,3,0,9,9,904.83,Y
106,47,7.966292135,87,20.08333333,15.5,37.65,23.31666667,17.51666667,18.9,36.26666667,29.15,30.08333333,35.93333333,26.16666667,30.98333333,8.7,6.5,34.86666667,-,24.77444444,10,2,5,9,4,0,1,9,978.27,Y
107,13,15.96629213,205,88.8,-,95.35,70.33333333,59.75,-,85.16666667,104,98.43333333,-,53.93333333,-,34.85,-,55.45,70.46666667,74.23030303,0,2,4,9,12,0,1,1,1010.28,Y
108,37,9.426966292,164,27.28333333,53.06666667,58.86666667,39.33333333,46.95,45.11666667,68.88333333,47.55,-,71.28333333,-,57.73333333,-,20.76666667,54.28333333,32.5,47.97051282,10,3,5,0,2,0,5,8,49,N
109,49,8.04494382,94,9.833333333,7.166666667,19.51666667,12.38333333,16.28333333,8.233333333,20.33333333,17.73333333,14.53333333,20.93333333,10.38333333,14.33333333,4.55,6.066666667,18.3,19.66666667,13.765625,10,2,5,6,2,0,5,9,808.58,N
110,53,7.820224719,72,36.08333333,26.45,50.58333333,-,30.88333333,-,30.76666667,48.2,40.73333333,48.1,29.98333333,-,14.98333333,16,58.53333333,31.68333333,35.61410256,10,3,4,3,1,0,9,9,926.89,Y
111,47,6.258426966,72,16.63333333,11.96666667,18.73333333,18.16666667,10.56666667,9.433333333,22.33333333,19.61666667,19.61666667,22.11666667,14.05,17.05,6.333333333,7.45,21.45,19.16666667,15.91770833,,,,,,,,,955.32,Y